Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,ANNUAL TOTAL,Year
WAYMO LLC,AVT003,SADHW2S17M1616916,0.0,0,0,0,0,0,0,0,0,0,0,803.6,913.6,1717.2,2021
WAYMO LLC,AVT003,SADHW2S10M1616501,0.0,0,0,0,0,0,0,0,0,0,321.4,1720.4,1101,3142.8,2021
WAYMO LLC,AVT003,SADHW2S10M1616448,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S13M1616492,0.0,0,0,0,0,0,0,0,0,0,0,1287.3,2794.4,4081.7,2021
WAYMO LLC,AVT003,SADHW2S10M1616613,0.0,0,0,0,0,0,0,0,0,0,0,420.3,362.2,782.5,2021
WAYMO LLC,AVT003,SADHW2S14M1616761,0.0,0,0,0,0,0,0,0,0,0,156.4,103.1,1481.4,1740.9,2021
WAYMO LLC,AVT003,SADHW2S18M1616603,0.0,0,0,0,0,0,0,0,0,0,0,503.7,1621.9,2125.6,2021
WAYMO LLC,AVT003,SADHW2S11M1616880,2.0,0,0,0,0,0,0,0,0,0,93.6,813.3,1947.3,2854.2,2021
WAYMO LLC,AVT003,SADHW2S1XM1616392,0.0,0,0,0,0,0,0,0,0,0,0,1587.2,840,2427.2,2021
WAYMO LLC,AVT003,SADHW2S12M1616385,0.0,0,0,0,0,0,0,0,0,0,0,1029,1907.3,2936.3,2021
WAYMO LLC,AVT003,SADHW2S18M1616441,0.0,0,0,0,0,0,0,0,0,0,0,579.4,923.4,1502.8,2021
WAYMO LLC,AVT003,SADHW2S15M1616557,0.0,0,0,0,0,0,0,0,0,0,320.5,1946.8,1404.3,3671.6,2021
WAYMO LLC,AVT003,SADHW2S10M1616577,0.0,0,0,0,0,0,0,0,0,0,0,796.7,1412.9,2209.6,2021
WAYMO LLC,AVT003,SADHW2S19M1616626,0.0,0,0,0,0,0,0,0,0,0,0,158.3,955.1,1113.4,2021
WAYMO LLC,AVT003,SADHW2S12M1616824,0.0,0,0,0,0,0,0,0,0,0,0,65.8,1236.8,1302.6,2021
WAYMO LLC,AVT003,SADHW2S12M1616581,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S14M1616811,0.0,0,0,0,0,0,0,0,0,0,280.3,1685.3,210.8,2176.4,2021
WAYMO LLC,AVT003,SADHW2S19M1616674,0.0,0,0,0,0,0,0,0,0,0,0,974.9,1754.4,2729.3,2021
WAYMO LLC,AVT003,SADHW2S19M1616402,0.0,0,0,0,0,0,0,0,0,0,0,0,93.8,93.8,2021
WAYMO LLC,AVT003,SADHW2S15M1616333,0.0,0,0,0,0,0,0,0,0,0,0,1012.3,1024.9,2037.2,2021
WAYMO LLC,AVT003,SADHW2S12M1616712,0.0,0,0,0,0,0,0,0,0,0,0,104.4,1278.4,1382.8,2021
WAYMO LLC,AVT003,SADHW2S13M1616427,0.0,0,0,0,0,0,0,0,0,0,90.1,1984.9,2227.9,4302.9,2021
WAYMO LLC,AVT003,SADHW2S1XM1616411,0.0,0,0,0,0,0,0,0,0,0,370.4,1382.1,1981.6,3734.1,2021
WAYMO LLC,AVT003,SADHW2S19M1616609,0.0,0,0,0,0,0,0,0,0,0,0,340.1,1661,2001.1,2021
WAYMO LLC,AVT003,SADHW2S1XM1616893,0.0,0,0,0,0,0,0,0,0,0,0,906.1,772.9,1679,2021
WAYMO LLC,AVT003,SADHW2S17M1616950,0.0,0,0,0,0,0,0,0,0,0,0,1247.5,1928.6,3176.1,2021
WAYMO LLC,AVT003,SADHW2S19M1616481,0.0,0,0,0,0,0,0,0,0,0,250.8,1597.8,864.3,2712.9,2021
WAYMO LLC,AVT003,SADHW2S11M1616619,0.0,0,0,0,0,0,0,0,0,0,0,0,103.7,103.7,2021
WAYMO LLC,AVT003,SADHW2S16M1616549,0.0,0,0,0,0,0,0,0,0,0,217.2,1676.5,652.5,2546.2,2021
WAYMO LLC,AVT003,SADHW2S16M1616471,0.0,0,0,0,0,0,0,0,0,0,0,1168.3,733.1,1901.4,2021
WAYMO LLC,AVT003,SADHW2S12M1616421,0.0,0,0,0,0,0,0,0,0,0,0,0,439.1,439.1,2021
WAYMO LLC,AVT003,SADHW2S15M1616560,0.0,0,0,0,0,0,0,0,0,0,0,285.8,1771.7,2057.5,2021
WAYMO LLC,AVT003,SADHW2S10M1616837,0.0,0,0,0,0,0,0,0,0,0,0,180.3,675.5,855.8,2021
WAYMO LLC,AVT003,SADHW2S18M1616939,0.0,0,0,0,0,0,0,0,0,0,0,0,127.7,127.7,2021
WAYMO LLC,AVT003,SADHW2S18M1616455,0.0,0,0,0,0,0,0,0,0,0,0,0,643.4,643.4,2021
WAYMO LLC,AVT003,SADHW2S16M1616860,0.0,0,0,0,0,0,0,0,0,0,0,249.4,2241.9,2491.3,2021
WAYMO LLC,AVT003,SADHW2S15M1616462,0.0,0,0,0,0,0,0,0,0,0,0,176.7,2061,2237.7,2021
WAYMO LLC,AVT003,SADHW2S15M1615277,0.0,0,0,0,0,0,0,0,0,0,0,418.8,1736.4,2155.2,2021
WAYMO LLC,AVT003,SADHW2S15M1616686,0.0,0,0,0,0,0,0,0,0,0,0,0,112.9,112.9,2021
WAYMO LLC,AVT003,SADHW2S17M1616818,0.0,0,0,0,0,0,0,0,0,0,0,327.7,1134,1461.7,2021
WAYMO LLC,AVT003,SADHW2S17M1616592,0.0,0,0,0,0,0,0,0,0,0,0,285.9,670.2,956.1,2021
WAYMO LLC,AVT003,SADHW2S15M1616767,1.0,0,0,0,0,0,0,0,0,0,0,334.2,1143.7,1477.9,2021
WAYMO LLC,AVT003,SADHW2S14M1615190,0.0,0,0,0,0,0,0,0,0,0,0,431.3,1287.5,1718.8,2021
WAYMO LLC,AVT003,SADHW2S14M1616517,0.0,0,0,0,0,0,0,0,0,0,0,192.7,1431.7,1624.4,2021
WAYMO LLC,AVT003,SADHW2S18M1616844,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S1XM1616831,0.0,0,0,0,0,0,0,0,0,0,0,140.5,795,935.5,2021
WAYMO LLC,AVT003,SADHW2S13M1616928,0.0,0,0,0,0,0,0,0,0,0,0,443.4,1785.6,2229,2021
WAYMO LLC,AVT003,SADHW2S1XM1616960,0.0,0,0,0,0,0,0,0,0,0,0,0,822.2,822.2,2021
WAYMO LLC,AVT003,SADHW2S18M1617007,0.0,0,0,0,0,0,0,0,0,0,0,0,982.5,982.5,2021
WAYMO LLC,AVT003,SADHW2S19M1616870,0.0,0,0,0,0,0,0,0,0,0,0,202.1,1561.3,1763.4,2021
WAYMO LLC,AVT003,SADHW2S19M1617064,0.0,0,0,0,0,0,0,0,0,0,0,156.1,563,719.1,2021
WAYMO LLC,AVT003,SADHW2S14M1617036,0.0,0,0,0,0,0,0,0,0,0,0,397.9,940.6,1338.5,2021
WAYMO LLC,AVT003,SADHW2S18M1617024,0.0,0,0,0,0,0,0,0,0,0,0,197.9,2104.6,2302.5,2021
WAYMO LLC,AVT003,SADHW2S10M1617051,0.0,0,0,0,0,0,0,0,0,0,0,351.1,2057.5,2408.6,2021
WAYMO LLC,AVT003,SADHW2S11M1616992,0.0,0,0,0,0,0,0,0,0,0,0,314.2,971.4,1285.6,2021
WAYMO LLC,AVT003,SADHW2S19M1617078,0.0,0,0,0,0,0,0,0,0,0,0,0,751,751,2021
WAYMO LLC,AVT003,SADHW2S18M1617122,0.0,0,0,0,0,0,0,0,0,0,0,28.6,2707.4,2736,2021
WAYMO LLC,AVT003,SADHW2S19M1617016,0.0,0,0,0,0,0,0,0,0,0,0,42.8,139.9,182.7,2021
WAYMO LLC,AVT003,SADHW2S15M1616705,0.0,0,0,0,0,0,0,0,0,0,0,267.6,487.2,754.8,2021
WAYMO LLC,AVT003,SADHW2S19M1617484,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S15M1617532,0.0,0,0,0,0,0,0,0,0,0,0,0,1340.8,1340.8,2021
WAYMO LLC,AVT003,SADHW2S14M1617523,0.0,0,0,0,0,0,0,0,0,0,0,0,1126.5,1126.5,2021
WAYMO LLC,AVT003,SADHW2S18M1617394,0.0,0,0,0,0,0,0,0,0,0,0,331.5,986.8,1318.3,2021
WAYMO LLC,AVT003,SADHW2S11M1617365,0.0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,2021
WAYMO LLC,AVT003,SADHW2S12M1617309,0.0,0,0,0,0,0,0,0,0,0,0,59.3,919.5,978.8,2021
WAYMO LLC,AVT003,SADHW2S14M1617537,0.0,0,0,0,0,0,0,0,0,0,0,305,1409.9,1714.9,2021
WAYMO LLC,AVT003,SADHW2S15M1617515,1.0,0,0,0,0,0,0,0,0,0,0,385.9,1354.8,1740.7,2021
WAYMO LLC,AVT003,SADHW2S11M1617298,0.0,0,0,0,0,0,0,0,0,0,0,0,1149.2,1149.2,2021
WAYMO LLC,AVT003,SADHW2S13M1617528,0.0,0,0,0,0,0,0,0,0,0,0,9.1,1912,1921.1,2021
WAYMO LLC,AVT003,SADHW2S15M1617403,0.0,0,0,0,0,0,0,0,0,0,0,795.8,1538.3,2334.1,2021
WAYMO LLC,AVT003,SADHW2S19M1617422,0.0,0,0,0,0,0,0,0,0,0,0,74.7,951.1,1025.8,2021
WAYMO LLC,AVT003,SADHW2S10M1617342,0.0,0,0,0,0,0,0,0,0,0,0,0,570.1,570.1,2021
WAYMO LLC,AVT003,SADHW2S19M1617520,0.0,0,0,0,0,0,0,0,0,0,0,0,213.2,213.2,2021
WAYMO LLC,AVT003,SADHW2S13M1617450,0.0,0,0,0,0,0,0,0,0,0,0,0,1498.1,1498.1,2021
WAYMO LLC,AVT003,SADHW2S18M1617430,0.0,0,0,0,0,0,0,0,0,0,0,342.3,1138.3,1480.6,2021
WAYMO LLC,AVT003,SADHW2S16M1617510,0.0,0,0,0,0,0,0,0,0,0,0,159,1249.1,1408.1,2021
WAYMO LLC,AVT003,SADHW2S1XM1617350,0.0,0,0,0,0,0,0,0,0,0,0,45.7,1344.7,1390.4,2021
WAYMO LLC,AVT003,SADHW2S19M1617288,0.0,0,0,0,0,0,0,0,0,0,0,84.5,1062.5,1147,2021
WAYMO LLC,AVT003,SADHW2S1XM1617414,0.0,0,0,0,0,0,0,0,0,0,0,627.7,1308.2,1935.9,2021
WAYMO LLC,AVT003,SADHW2S18M1617377,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S19M1615864,0.0,0,0,0,0,0,0,0,0,0,0,308.3,1408.6,1716.9,2021
WAYMO LLC,AVT003,SADHW2S10M1617647,0.0,0,0,0,0,0,0,0,0,0,0,0,623.1,623.1,2021
WAYMO LLC,AVT003,SADHW2S16M1617569,0.0,0,0,0,0,0,0,0,0,0,0,48.5,1244.7,1293.2,2021
WAYMO LLC,AVT003,SADHW2S19M1617579,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S15M1617238,1.0,0,0,0,0,0,0,0,0,0,0,0,701.4,701.4,2021
WAYMO LLC,AVT003,SADHW2S14M1617473,0.0,0,0,0,0,0,0,0,0,0,0,7.9,1543.9,1551.8,2021
WAYMO LLC,AVT003,SADHW2S13M1617464,0.0,0,0,0,0,0,0,0,0,0,0,89.2,1244.2,1333.4,2021
WAYMO LLC,AVT003,SADHW2S19M1617565,0.0,0,0,0,0,0,0,0,0,0,0,0,1578.6,1578.6,2021
WAYMO LLC,AVT003,SADHW2S1XM1617199,0.0,0,0,0,0,0,0,0,0,0,0,0,1106,1106,2021
WAYMO LLC,AVT003,SADHW2S17M1617385,0.0,0,0,0,0,0,0,0,0,0,0,0,214.6,214.6,2021
WAYMO LLC,AVT003,SADHW2S10M1617583,0.0,0,0,0,0,0,0,0,0,0,0,0,393.8,393.8,2021
WAYMO LLC,AVT003,SADHW2S19M1617615,0.0,0,0,0,0,0,0,0,0,0,0,0,428.3,428.3,2021
WAYMO LLC,AVT003,SADHW2S1XM1617588,0.0,0,0,0,0,0,0,0,0,0,0,0,724.6,724.6,2021
WAYMO LLC,AVT003,SADHW2S10M1617258,0.0,0,0,0,0,0,0,0,0,0,0,0,537.3,537.3,2021
WAYMO LLC,AVT003,SADHW2S16M1617278,0.0,0,0,0,0,0,0,0,0,0,0,0,257.5,257.5,2021
WAYMO LLC,AVT003,SADHW2S19M1617209,0.0,0,0,0,0,0,0,0,0,0,0,0,316.1,316.1,2021
WAYMO LLC,AVT003,SADHW2S1XM1617560,0.0,0,0,0,0,0,0,0,0,0,0,0,694.4,694.4,2021
WAYMO LLC,AVT003,SADHW2S16M1617507,0.0,0,0,0,0,0,0,0,0,0,0,0,1055.8,1055.8,2021
WAYMO LLC,AVT003,SADHW2S1XM1617638,0.0,0,0,0,0,0,0,0,0,0,0,0,678.8,678.8,2021
WAYMO LLC,AVT003,SADHW2S12M1617651,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S18M1617573,0.0,0,0,0,0,0,0,0,0,0,0,0,214.9,214.9,2021
WAYMO LLC,AVT003,SADHW2S10M1617440,0.0,0,0,0,0,0,0,0,0,0,0,0,454.6,454.6,2021
WAYMO LLC,AVT003,SADHW2S17M1617595,0.0,0,0,0,0,0,0,0,0,0,0,0,241.1,241.1,2021
WAYMO LLC,AVT003,SADHW2S11M1617642,0.0,0,0,0,0,0,0,0,0,0,0,0,264.3,264.3,2021
WAYMO LLC,AVT003,SADHW2S15M1617319,0.0,0,0,0,0,0,0,0,0,0,0,0,649.1,649.1,2021
WAYMO LLC,AVT003,SADHW2S11M1617611,0.0,0,0,0,0,0,0,0,0,0,0,0,500.4,500.4,2021
WAYMO LLC,AVT003,SADHW2S18M1617248,0.0,0,0,0,0,0,0,0,0,0,0,0,157.2,157.2,2021
WAYMO LLC,AVT003,SADHW2S14M1617604,0.0,0,0,0,0,0,0,0,0,0,0,0,113.1,113.1,2021
WAYMO LLC,AVT003,SADHW2S15M1617546,0.0,0,0,0,0,0,0,0,0,0,0,0,298.5,298.5,2021
WAYMO LLC,AVT003,SADHW2S11M1617625,0.0,0,0,0,0,0,0,0,0,0,0,0,105.8,105.8,2021
WAYMO LLC,AVT003,SADHW2S11M1617186,0.0,0,0,0,0,0,0,0,0,0,0,0,143.3,143.3,2021
WAYMO LLC,AVT003,SADHW2S15M1617109,0.0,0,0,0,0,0,0,0,0,0,0,0,173.5,173.5,2021
WAYMO LLC,AVT003,SADHW2S10M1617101,0.0,0,0,0,0,0,0,0,0,0,0,0,379,379,2021
WAYMO LLC,AVT003,SADHW2S10M1617633,0.0,0,0,0,0,0,0,0,0,0,0,0,479.6,479.6,2021
WAYMO LLC,AVT003,SADHW2S10M1616904,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S14M1617599,0.0,0,0,0,0,0,0,0,0,0,0,0,266.5,266.5,2021
WAYMO LLC,AVT003,SADHW2S16M1617541,0.0,0,0,0,0,0,0,0,0,0,0,0,384.7,384.7,2021
WAYMO LLC,AVT003,SADHW2S10M1617227,0.0,0,0,0,0,0,0,0,0,0,0,0,102.6,102.6,2021
WAYMO LLC,AVT003,SADHW2S17M1617550,0.0,0,0,0,0,0,0,0,0,0,0,0,13.3,13.3,2021
WAYMO LLC,AVT003,SADHW2S13M1617268,0.0,0,0,0,0,0,0,0,0,0,0,0,78.3,78.3,2021
WAYMO LLC,AVT003,SADHW2S16M1617619,0.0,0,0,0,0,0,0,0,0,0,0,0,131.5,131.5,2021
WAYMO LLC,AVT003,SADHW2S16M1617555,0.0,0,0,0,0,0,0,0,0,0,0,0,72.3,72.3,2021
WAYMO LLC,AVT003,SADHW2S11M1617219,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S14M1617327,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S10M1617177,0.0,0,0,0,0,0,0,0,0,0,0,0,13.6,13.6,2021
WAYMO LLC,AVT003,SADHW2S17M1615653,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S13M1615505,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S18M1617086,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WAYMO LLC,AVT003,SADHW2S15M1616008,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WERIDE CORP,AVT034,3LN6L5LU3HR640854,0.0,0,0,0,36.4,0,0,0,0,0,0,0,0,36.4,2021
WERIDE CORP,AVT034,3LN6L5LU1HR638729,1.0,52,137.2,13.2,126.4,97,3599.6,867.45,989.3,1750.7,2223.1,923.6,347,11126.55,2021
WERIDE CORP,AVT034,3LN6L5LU4HR637607,0.0,0,0,0,9.6,19.2,248.2,20.6,9.4,70,0,0,0,377,2021
WERIDE CORP,AVT034,3LN6L5MU2HR654727,0.0,16.4,802.4,821.2,46.4,336.8,2098.4,1193.65,1861.8,1820,2677.5,2728.3,741,15143.85,2021
WERIDE CORP,AVT034,3LN6L5MU1HR637773,0.0,415.2,891.2,1401.4,883.8,554.7,4462,737.6,1369.1,1158.2,197.5,731.2,192.5,12994.4,2021
WERIDE CORP,AVT034,1N4AZ1CP5JC315505,0.0,0,0,0,0,0,0,0,0,0,0,0,9.2,9.2,2021
WERIDE CORP,AVT034,1N4AZ1CP3KC301099,1.0,0,0,0,111.8,74.6,574,1293.6,863.95,1066.4,986.4,2300,1068,8338.75,2021
WERIDE CORP,AVT034,1N4AZ1CP6KC305048,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
WERIDE CORP,AVT034,1N4AZ1CP2KC305130,0.0,86.2,233.8,3.2,204.3,398.2,1074.6,1003.75,45,0,22.5,0,0,3071.55,2021
WERIDE CORP,AVT034,1N4AZ1CP0KC303358,0.0,0,0,0,0,0,0,363.65,0,0,0,0,0,363.65,2021
WERIDE CORP,AVT034,1N4AZ1CP5KC307681,1.0,0,0,0,0,0,0,0,0,0,0,295.7,639.5,935.2,2021
WERIDE CORP,AVT034,1N4AZ1CP2KC305743,0.0,0,0,0,0,0,0,0,490.5,748.3,1011.3,1515.9,1398.2,5164.2,2021
WERIDE CORP,AVT034,1N4AZ1CP4KC303668,0.0,0,0,0,0,0,0,0,0,0,0,169.2,165.6,334.8,2021
WERIDE CORP,AVT034,1N4AZ1CP4KC305551,0.0,0,0,0,0,0,0,0,0,0,0,70.7,0,70.7,2021
"ZOOX, INC",AVT012,5TDDCRFHXGS016725,0.0,0,0,0,86,213,23,18,0,0,38,310,49,737,2021
"ZOOX, INC",AVT012,5TDDCRFH5GS017703,0.0,0,0,0,0,286,227,148,0,0,0,0,0,661,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS017625,0.0,0,0,0,0,285,212,716,443,369,197,185,183,"2,590",2021
"ZOOX, INC",AVT012,5TDDCRFH1GS016144,0.0,0,0,0,0,22,119,61,177,375,230,59,110,"1,153",2021
"ZOOX, INC",AVT012,5TDDCRFH2GS015942,0.0,0,0,0,0,113,516,30,0,0,0,0,0,659,2021
"ZOOX, INC",AVT012,5TDDCRFH4GS019989,0.0,0,0,0,0,0,0,206,336,439,564,394,12,"1,951",2021
"ZOOX, INC",AVT012,5TDDCRFH1GS015009,0.0,0,0,0,0,0,0,0,0,0,0,0,46,46,2021
"ZOOX, INC",AVT012,5TDDCRFH9GS015016,0.0,0,0,0,0,0,0,12,0,289,347,173,0,821,2021
"ZOOX, INC",AVT012,5TDDCRFH5GS018642,0.0,0,0,0,0,0,0,36,0,151,190,112,99,588,2021
"ZOOX, INC",AVT012,5TDDCRFHXGS020015,0.0,0,0,0,0,0,0,145,187,235,354,92,103,"1,116",2021
"ZOOX, INC",AVT012,5TDDCRFH0GS019908,0.0,1,0,1,12,0,0,0,0,0,0,196,565,775,2021
"ZOOX, INC",AVT012,5TDDCRFH9GS019454,0.0,0,0,14,0,52,34,24,72,341,152,0,0,689,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS019493,0.0,0,0,0,22,233,557,199,428,,110,450,268,"2,267",2021
"ZOOX, INC",AVT012,5TDDCRFH9GS014366,0.0,55,0,0,0,1130,0,0,0,677,115,49,43,"2,069",2021
"ZOOX, INC",AVT012,5TDDCRFH9GS015257,1.0,158,0,530,51,738,71,0,0,0,8,123,214,"1,893",2021
"ZOOX, INC",AVT012,5TDDCRFH2GS014810,0.0,0,0,0,307,566,0,0,0,34,0,192,774,"1,873",2021
"ZOOX, INC",AVT012,5TDDCRFH2GS015195,0.0,0,0,53,0,548,864,98,0,0,69,78,177,1887,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS018456,0.0,80,0,256,75,646,669,644,935,267,0,0,0,3572,2021
"ZOOX, INC",AVT012,5TDDCRFH3GS016839,1.0,164,0,413,763,191,79,337,250,1313,716,0,0,4226,2021
"ZOOX, INC",AVT012,5TDDCRFH3GS015349,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH7GS015631,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH4GS017014,0.0,202,14,0,46,28,0,0,0,0,0,0,0,290,2021
"ZOOX, INC",AVT012,5TDDCRFH6GS020268,0.0,33,0,0,619,543,60,0,0,0,0,0,0,1255,2021
"ZOOX, INC",AVT012,5TDDCRFH1GS016810,1.0,124,0,0,0,216,581,469,992,1278,1613,316,0,5589,2021
"ZOOX, INC",AVT012,5TDDCRFH9GS018451,0.0,0,0,0,80,15,33,0,29,2,5,31,9,204,2021
"ZOOX, INC",AVT012,5TDDCRFH2GS015200,0.0,138,0,0,424,380,297,0,0,99,0,67,509,1914,2021
"ZOOX, INC",AVT012,5TDDCRFH4GS016607,3.0,159,0,555,500,920,167,248,666,1122,0,961,1369,7749,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS020384,3.0,115,0,434,721,242,128,776,1180,1233,744,1178,1580,8331,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS020496,0.0,60,0,118,14,0,438,613,432,463,492,656,375,3661,2021
"ZOOX, INC",AVT012,5TDDCRFH2GS015424,0.0,0,0,46,373,406,137,389,761,1059,15,1035,997,5218,2021
"ZOOX, INC",AVT012,5TDDCRFH1GS014880,0.0,144,0,316,637,576,196,313,108,3,28,0,604,2925,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS020658,1.0,126,0,93,331,640,191,102,93,197,218,837,0,2828,2021
"ZOOX, INC",AVT012,5TDDCRFH6GS019086,0.0,0,0,0,0,0,0,11,48,466,508,475,618,2126,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS017379,1.0,299,0,463,820,614,0,67,0,39,1222,1273,147,4944,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS017818,3.0,333,0,383,829,697,273,320,895,1345,1445,1336,1113,8969,2021
"ZOOX, INC",AVT012,5TDDCRFH7GS013880,0.0,0,0,0,146,307,205,449,819,826,661,753,879,5045,2021
"ZOOX, INC",AVT012,5TDDCRFH7GS015225,0.0,88,0,11,297,571,692,866,862,1281,671,1020,1242,7601,2021
"ZOOX, INC",AVT012,5TDDCRFH9GS015632,0.0,59,0,294,546,919,463,836,784,487,755,799,932,6874,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS016321,0.0,116,0,0,0,24,56,0,48,0,0,0,0,244,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS015678,0.0,131,0,111,503,51,130,586,957,217,297,0,0,2983,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS013994,0.0,42,0,327,261,516,321,1106,583,864,447,395,534,5396,2021
"ZOOX, INC",AVT012,5TDDCRFH3GS019501,0.0,95,0,0,56,271,72,97,89,32,448,950,0,2110,2021
"ZOOX, INC",AVT012,5TDDCRFH2GS019781,1.0,80,0,0,611,842,807,800,704,1434,1023,1006,1031,8338,2021
"ZOOX, INC",AVT012,5TDDCRFH5GS020245,1.0,27,0,53,671,1067,1007,841,1202,906,897,728,665,8064,2021
"ZOOX, INC",AVT012,5TDDCRFH7GS015502,3.0,60,0,167,1033,1218,857,1130,1198,528,634,284,929,8038,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS020224,1.0,188,0,35,0,192,241,274,807,341,253,813,748,3892,2021
"ZOOX, INC",AVT012,5TDDCRFH1GS014961,0.0,71,0,584,455,119,43,38,2,118,0,193,737,2360,2021
"ZOOX, INC",AVT012,5TDDCRFH9GS016649,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS019729,0.0,0,0,114,0,23,0,0,0,0,0,112,341,590,2021
"ZOOX, INC",AVT012,5TDDCRFH7GS018948,0.0,0,0,0,0,0,0,0,0,0,460,220,415,1095,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS015860,0.0,0,0,0,0,0,0,0,0,0,225,261,0,486,2021
"ZOOX, INC",AVT012,5TDDCRFH3GS016954,0.0,0,0,0,0,0,0,0,0,4,389,461,798,1652,2021
"ZOOX, INC",AVT012,5TDDCRFH3GS019210,0.0,0,0,0,0,0,0,0,0,0,18,197,0,215,2021
"ZOOX, INC",AVT012,5TDDCRFH9GS017946,0.0,0,0,0,0,0,0,0,0,0,121,538,1022,1681,2021
"ZOOX, INC",AVT012,5TDDCRFH2GS016427,0.0,0,0,0,0,0,0,0,0,0,46,9,76,131,2021
"ZOOX, INC",AVT012,5TDDCRFH3GS020471,0.0,0,0,0,0,0,0,0,0,0,0,207,967,1174,2021
"ZOOX, INC",AVT012,5TDDCRFH8GS017839,1.0,0,0,0,0,0,0,0,0,0,0,96,620,716,2021
"ZOOX, INC",AVT012,5TDDCRFH5GS014395,0.0,0,0,0,0,0,0,0,0,0,0,3,97,100,2021
"ZOOX, INC",AVT012,5TDDCRFH7GS016522,0.0,0,0,0,0,0,0,0,0,0,0,101,643,744,2021
"ZOOX, INC",AVT012,5TDDCRFH6GS020187,0.0,0,0,0,0,0,0,0,0,0,0,0,20,20,2021
"ZOOX, INC",AVT012,5TDDCRFH5GS015840,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH1GS014622,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFHXGS014330,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFHXGS013971,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH3GS015934,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFHXGS017602,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH1GS019609,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFHXGS014358,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS015163,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH5GS013800,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
"ZOOX, INC",AVT012,5TDDCRFH0GS014515,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
