Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,ANNUAL TOTAL,Year
CRUISE LLC,AVT008,5G21A6P09L4100182,0.0,486.65,740.40,500.54,650.20,984.53,870.45,890.50,"1,162.96",566.05,46.58,148.50,720.99,"7,768.35",2021
CRUISE LLC,AVT008,5G21A6P0XL4100014,1.0,633.08,816.36,532.69,"1,669.33",721.15,881.23,946.28,"1,151.81",194.55,910.95,"1,210.95",873.10,"10,541.48",2021
CRUISE LLC,AVT008,5G21A6P0XL4100045,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,323.48","1,989.01",576.34,"1,053.38","1,043.62","5,985.83",2021
CRUISE LLC,AVT008,5G21A6P0XL4100045,0.0,0.00,266.06,756.97,"1,424.99","1,553.54","1,371.49","1,025.64",0.00,0.00,0.00,0.00,0.00,"6,398.69",2021
CRUISE LLC,AVT008,5G21A6P0XL4100059,0.0,479.88,576.67,465.49,260.73,507.61,840.53,172.71,663.65,734.91,93.71,0.00,0.00,"4,795.89",2021
CRUISE LLC,AVT008,5G21A6P0XL4100062,0.0,102.67,315.86,0.00,0.00,47.52,8.23,11.43,0.00,0.00,0.00,0.00,0.00,485.71,2021
CRUISE LLC,AVT008,5G21A6P0XL4100076,0.0,874.73,809.41,"1,228.81",925.30,"1,258.13",756.59,94.46,642.41,870.73,766.35,"1,560.76","1,945.32","11,733.00",2021
CRUISE LLC,AVT008,5G21A6P0XL4100126,0.0,0.00,13.37,17.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.50,2021
CRUISE LLC,AVT008,5G21A6P0XL4100143,0.0,558.64,666.51,817.66,"1,073.15",506.89,"1,518.21","1,759.07","1,333.05",954.02,"1,101.59","1,264.33","1,162.98","12,716.10",2021
CRUISE LLC,AVT008,5G21A6P0XL4100160,0.0,0.00,299.21,34.58,93.91,36.51,113.37,81.68,45.68,0.00,0.63,28.61,6.42,740.60,2021
CRUISE LLC,AVT008,5G21A6P0XL4100174,0.0,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.85,0.00,0.00,20.97,2021
CRUISE LLC,AVT008,5G21A6P0XL4100188,0.0,363.07,110.88,0.35,935.08,"1,260.73","1,383.15",967.75,"1,999.68","1,941.21",495.59,389.40,"1,733.91","11,580.80",2021
CRUISE LLC,AVT008,5G21A6P0XL4100191,1.0,205.29,843.63,893.49,981.78,762.23,"1,231.31","1,453.87","1,644.82","1,165.26",648.98,0.00,0.00,"9,830.66",2021
CRUISE LLC,AVT008,5G21A6P0XL4110753,0.0,856.36,605.77,584.29,523.66,"1,073.21",986.95,874.96,795.15,714.61,297.45,0.00,0.00,"7,312.41",2021
DEEPROUTE.AI,AVT069,3LN6L5MU0KR620972,2.0,1782,1660,1895,1788,1481,1601,1455,1876,1408,1829,1774,242,18791,2021
DEEPROUTE.AI,AVT069,3FA6P0LU3KR177879,0.0,1231,1674,980,1167,1870,1624,530,649,1291,0,298,767,12081,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5LU2HR663008,0.0,0,0,18.74,45.85,208.95,269.76,113.95,331.07,632.57,665.23,856.7,615.71,3758.53,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU3JR619538,0.0,0,0,9.44,36.77,1201.76,1178.76,674.24,737.79,204.38,92.78,475.78,804.78,5416.48,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU4JR608032,1.0,0,0,8.66,535.05,1129.63,1066.01,1087.21,849.5,157.65,323.34,815.1,974.2,6946.35,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU4JR609133,0.0,0,0,4.97,494.28,25.36,8.89,7.57,0,177.75,587.18,302.04,221.51,1829.55,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU1JR609431,0.0,0,0,5.67,43.76,138.13,5.46,297.61,524.73,224.77,462.1,645.44,958.08,3305.75,2021
DIDI RESEARCH AMERICA LLC,AVT055,3LN6L5MU4JR611142,0.0,0,0,16.96,0,596.36,1154.82,593.53,378.68,394.61,871.47,305.7,578.83,4890.96,2021
